S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
145C,TamFest,Festivals,United Kingdom,Meredith McCrindle,Tamfest is Ayr's spooktacular Halloween celebration with a Tam o' Shanter twist.So join ghostsghouls and goblins in the town centre
153C,Crab & WillA Tale of Shakespeare's Dog,Children's Books,United States,Gregory Magnuson,I will give my children's book to schools and organizations that support abused children.  Fun introduction to Shakespeare!
376C,Kitsch Encyclopedia by Sara Cwynar,Art Books,United States,Blonde Art Books,A book project by Sara Cwynar of original and appropriated images and textco-published with Blonde Art Books.
435B,A Story Each Day,Fiction,United States,Nicholas Sailer,"Writer and award-winning director Nicholas Sailer is writing a short story every day for 365 days, throughout the entire year of 2014."
134,Grease,Musical,United States,kate henerey & jose guerrero,Grease is the word for our 3rd Annual Prieto Academy Musical!  Take our 7th and 8th grade students back to the 1950s for a rockin' show
115C,"Young Actors Co-op performs ""A Christmas Carol""",Theater,United States,Young Actors Co-op,"The Young Actors Co-op of FloydVirginia performs ""A Christmas Carol"" in December. The sets will be huge! The cast is huge! The budget is small."
639C,Pulse 53 Edinburgh Festival,Festivals,United Kingdom,Pulse 53,"Through physical theatre, clown, live music, and grotesque imagery, Against Nothingness dramatises the life and works of S. Witkacy."
95B,Macbeth...in a cave!,Immersive,United Kingdom,Insane Root Theatre,"A unique, site-specific production of Shakespeare's darkest tragedy - Macbeth - brought to life in the historic Redcliffe Caves"
278C,Stalking Christopher Walken,Theater,United States,BrickaBrack,A dance theatre journey into the dark corners of Christopher Walken's dreams... revealing what really happened to Natalie Wood.
170C,Rashomon: Reloaded,Experimental,United States,REBATEnsemble Theatre Group,"REBATEnsemble re-imagines Akira Kurosawa's legendary film as theatre and reloads it with a mix of music, pyrotechnics, and Kabuki."
2,Words without Borders: Afghanistan Issue,Periodicals,US,Words without Borders,An online issue of fiction and poetry from contemporary Afghan writers translated into English.
375C,ACRO An Alphabet Art Book,Art Books,United States,AcroEntertainment: Katie & Kaci,A unique alphabet book of contortion and acrobatics by Kaci and Katie of AcroEntertainment.
117,The Kepler Story: Theater + Science + Harmony,Immersive,US,Motion Institute,An immersive theater piece at Morrison Planetarium about 17th C.  astronomer Johannes Kepler and the harmony of the universe.
292C,When Johnny Comes Marching Home,Plays,United States,A.S. Freeman,A meta-theatrical retelling of Chekhov's Three Sistersframed with Civil War HymnsDanceand wild theatricality.
354C,Cosmicomics,Plays,United States,Sky Candy,A dazzling aerial show that brings to life the whimsical and romantic short stories of beloved fantasy author Italo Calvino.
595C,Writer's Guide to Hollywood by Producer of Pretty Woman,Nonfiction,United States,Gary Goldstein,A book and practical roadmap of every insider strategy I've learned on how to make it in Hollywood as a successful screenwriter.
118,Chiropractical: A New Musical Comedy,Theater,United States,Nick Jester,Chiropractical is a new original musical comedy by Nick Jester!  We need funding to rent the space and buy/create supplies.
40,DOORKRUISING//ENCOUNTERS,Experimental,NL,Sophie Fetokaki,"a series exploring contemporary performance in all its GLORIOUS forms // dance, music, light improvisation, sound art, installations //"
545C,Paperhand Puppet Intervention 16th Annual Summer Show,Plays,United States,Jan Burger,Our 16th year promises to be bigger and better than ever but we need your help to bring the show to life!
370C,Phil Kay's Book: Auto-blography of a Master Storyteller...,Nonfiction,United Kingdom,Heroes of Fringe,"Memoirs of a much loved award-winning Comedian: ""The Wholly Viable"". Now Aiming for 200%. Let's really launch this amazing book..."
119,L.A. River Bike-In Movie Theater,Theater,US,L.A. River Revitalization Corporation,Let's go to the movies on the L.A. River! Help us fund the first ever Bike-In Theater along the banks of the city's best kept secret.
105B,The Super Serious Show at The Edinburgh Fringe Festival,Theater,United States,Kyle Mizono (deleted),Los Angeles' best all-in-one monthly live comedy show heads to the Edinburgh Fringe Festival for 24 1-hour shows in 25 days.
364C,A Christmas CarolA New Musical,Musical,United States,Orama Theatrical Enterprises,Scrooge is transformed into a loving gentler soul when Jacob Marley and three ghosts pay him a visit on Christmas Eve.
289B,MONDO 2000: An Open Source History,Publishing,United States,R.U. Sirius,"Mondo 2000: An Open Source History will be a fantastic experiment in collaborative historical narrative. Demented, poignant, funny and surreal"
529C,Unstuck: New Literature of the Fantastic and the Surreal,Periodicals,United States,Matt Williamson,"A print and electronic literary annual featuring new stories, poems, and essays from established and emerging authors around the world."
266C,The Red Shoes,Spaces,United Kingdom,Catherine Rice,We're aiming to launch a production involving circus performersmusicians and artists in a new spacecreating a night of live art.
368C,City of Stairways: A Poet's Field Guide to San Francisco,Poetry,United States,WritersCorps,City of Stairways is a book about San Francisco secrets written by youth. Both travel guide and poetry anthologyit's a love letter to San Francisco.
295C,Little Maia and the Coral City,Children's Books,United States,Robert  Geronimo,A children's picture book about a young girl who finds herself in a magical undersea town filled with enchanted creatures.
231C,Goodbye Paris: A Collaborative Memoir,Nonfiction,United States,Joe Bunting,A writer goes to Paris. YOU choose what happens when he gets there. Thenhe writes a book about it.
220B,Pretty Good Number One: An American Family Eats Tokyo,Nonfiction,United States,Matthew Amster-Burton,An American family spends a month in a 260-square-foot Tokyo apartment in this humorous food and travel memoir.
391C,Peter/Wendy goes to the 2015 Edinburgh Fringe Festival,Festivals,United States,Michael Berry-Berlinski,Peter/Wendy at 2015 Edinburgh Fringe FestivalPresented by Oakland School for the Arts
327C,Lonely Soldier Monologues a play by Helen Benedict.,Plays,United Kingdom,PMJ with Liminal Space Productions,A brave & relevant play that looks at the lives of 7 real women who served in the US Armed Forces. Authentic stories that need telling.
295B,Elected - A dystopian novel by author Rori Shay,Fiction,United States,Silence in the Library Publishing,"In a dystopian future, Aloy must lead a people while facing intrigue, assassination, and love, all while masquerading as a man."
290C,a Winter Cabaret: Concert 2015,Theater,United States,Braxton Kiser,One hour and thirty minutes of fun packaged between 9 people. This is our first winter CCbut our second CC this year.
307B,Entrainment,Theater,United States,The Voyeur Theatre Collective,Theatre is dying - we want to save it.
192B,THE INTERNET.,Theater,United States,Everywheretheatregroup Ny,"Fusing dance, movement, video, music, original and found texts, ETG  attempts to stage the world wide web in ""THE INTERNET""."
227C,Eversees and the Magic Tree - Children's Picture Book,Children's Books,United States,Lizzie Rose,When Miriam and her cat Eversees meet the Magic Treethey learn it's easy to be happy when you choose to see the love all around you.
172C,"Pretty Filthy:  A new musical about the ""other"" Hollywood!",Musical,United States,The Civilians,The award-winning Civilians theater company is producing a new musical about porninspired by real-life stories.
317B,FJORDS,Theater,United States,Manual Cinema,FJORDS is a live-scored cinematic shadow puppet show based on the poetry of Zachary Schomburg.
473C,Animal Animal Mammal Mine,Theater,United States,Anisa George,"A devised dance-theater piece about fertility, ecology, and the fate of humankind"
134C,Play / Date - an immersive theatrical nightclub experience,Immersive,United States,Blake McCarty,Play/Date is an immersive theatrical experience in a night club featuring 18 actors in 17 plays by 17 playwrights - all about dating.
298C,IPRC's 15th Birthday Superzine,Publishing,United States,Independent Publishing Resource Center,"To celebrate the Center's 15th birthdaywe're creating a Superzine filled with IPRC memories, writing and artwork by 30+ contributors."
349B,Be A Buddy Not A Bully (Anti-Bullying Stage Play TOUR),Plays,United States,Free Lunch Academy,Transforming bystanders into anti-bullies since 2012 thru inclusive learning environments.  Together we can take back our classrooms.
24,Andrew vs. The Collective,Fiction,US,Andrew Fitzgerald,I wrote a novel! And I wanted to try a fun way to distribute it. The book is called The Collective. This is Andrew vs. The Collective.
141,Get Trip The Light Theatre's show to its 2nd London Stage!,Plays,GB,Cassiah Joski-Jethi,Trip The Light Theatre needs YOUR help to fund it's second run of its debut production 'The Sun Shining On her Hands' in London.
147B,Alphabet Family Journal - Print Edition,Publishing,Australia,the Alphabet Journal Family,Alphabet is for the people who make a home together. We're what you read when you want to feel like you belong.
93C,The Box of Tricks Tour,Theater,United Kingdom,Pagelight Productions,Ever lost anyone close to youand regretted the last thing you said?
110,Romeo and Juliet at Moody's Pub,Plays,US,Jake Pollock,"Romeo and Juliet at Moody's Pub is an adapted, 90-minute version of Shakespeare's classic tragedy, performed for free in a restaurant"
149B,Children's Story Book: Jamie Loves Her Natural Hair,Children's Books,United States,Ariane,A children's story book that will empower girls to love their curls!
513C,"""Notes from the 422nd Annual Wraiths for Writing Conference""",Fiction,United States,Amelia Garretson-Persans,An illustrated book detailing the author's otherworldly experiences at a literary conference for and by ghosts
416B,"Faustaff, or the mockery of the soul",Theater,United Kingdom,Andrés Conde. Artistic Producciones,Faustaff is a feminist version of the Faustian Myth where a woman sells her soul for success.
214C,Spiritual Enlightenment Center - Help raise our vibrations!,Spaces,United States,Becky Guymon,"This center will be open to any and all people regardless of their religion.   We will be offering art, music, empowerment, and more!"
390B,Shrek the Musical,Theater,United States,Home Base Theatre,Produce the regional premiere of 'Shrek the Musical' to fund theatre in our hometown school.
455B,"LATINO a play about being Latino, una obra sobre ser Latino",Theater,United States,Teatro del Carmen,DId I mention the main character is a banana? ¿Te conté que el personaje principal es un plátano?
535C,Pig by Alex Oates (London Run),Plays,United Kingdom,Silent Uproar,Pig' by Alex Oates is an urgent and dark comedy with live music that discusses the vital issue of the state of our police force.
