S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
176B,United States,Piehole's 2 Stories That End In Suicide,Theater,Piehole,"A theater piece that investigates the impossibility of identity in a context of repression using 2D puppets, animation, and mustaches. "
177B,United States,Pasadena Musical Theatre Program 2011-2012 Season,Theater,Pasadena Musical Theatre Program,"Become a PMTP Sponsor of one of seven projects this year, including masterclasses, productions, concerts, workshops, and more!"
178B,United States,A Lady Must Live,Theater,Salli Richardson-Whitfield,a Bioplay about Lena Horne starring Salli Richardson-Whitfield
179B,United States,"Pantochino Productions: ""Cinderella Skeleton, The Musical""",Theater,Pantochino,"""Cinderella Skeleton, the musical"" will bring fresh, original, professional theatre for family audiences to New Haven, Connecticut!"
180B,United States,Grindhouse Musical:  Featuring Local And Jaws: The Musical!,Theater,Kyle McCoy,"Grindhouse Musical features two original shows performed back-to-back.  The world premiere of ""Local"" and the revival of JAWS!"
181B,United States,Fucking A,Theater,UrbanTheater Company,The professional Midwest Premiere of Suzan-Lori Parks' epic play exploring the depths of a mother's love for her child.
182B,United States,Wednesday Repertory Company Presents: Under The Table,Theater,WedRepCo,The Wednesday Repertory Company (WedRepCo) seeks to produce a showcase of ten exciting and original one-act plays!
183B,United States,The Power Of The Crystals,Theater,James Call,Learn sexy anger. Become the funky dictator. Embrace... THE POWER OF THE CRYSTALS! NYC's premiere motivational seminar/rock opera.
184B,United States,Under The Table Says: Canada Or Bust!,Theater,Under The Table,Physical comedy ensemble Under the Table from Brooklyn heads to Canada this summer for their largest tour yet. Winnipeg/Saskatoon/Edmonton or bust!
185B,United States,The Aurora Project: A Sci-Fi Epic By Bella Poynton,Plays,Tiffany Keane,"Help fund The Aurora Project, an immersive science fiction epic."
186B,United States,Umanitã > Theater Film Art Dance Trilogy On Nature & Humans,Theater,Silvia Girardi,Humanity >  an interdisciplinary theater trilogy on Nature and Humans.
187B,United States,Pneumatica,Festivals,Squonk Opera,"Pneumatica: an event about air, made by air, powered by air."
188B,United States,The Penelopiad,Theater,Leda Hoffmann,A theatrical retelling of The Odyssey from the perspective of Odysseus' wife Penelope and the twelve maids tied to her fate.
189B,United States,Dr. Chekhov's Swan Song (+ Other Prescriptions),Theater,The Rats Company,Acclaimed director Aleksey Burago stages a delicious collection of short stories by Anton Chekhov at the historic Stanton Street Shul.
190B,United States,Furthering The Puppet Experience-Thingumajig To Fayetteville,Theater,Jo Ann Kaminsky,We are creating a puppet circuit for NW Arkansas. We need help raising money  to rent a venue for our first guest artists from England.
191B,United States,Halfway Through The Story Of Our Life,Theater,Throes Theater,"Three actors, three musicians, three composers. A dark comedy inspired by Spalding Gray."
192B,United States,The Internet.,Theater,Everywheretheatregroup Ny,"Fusing dance, movement, video, music, original and found texts, ETG  attempts to stage the world wide web in ""THE INTERNET""."
193B,New Zealand,The Generation Of Z: Edinburgh,Immersive,Royale Productions,"""An immersive and interactive theatrical zombie experience at the world's largest arts festival! And we need your help to get there!"""
194B,United States,The Iddy Biddy Teeny Tiny Sara Schaefer Stand Up Tour,Theater,Sara Schaefer,I've given up my desk and it's time to hit the road. Help me share my act with some new folks!
195B,United States,Cast Recording For The Lockout: A Musical,Theater,Ben Fort,"Can the NBA lockout rock out? Yes. Six Hours Short records 12 songs from their original comedy, The Lockout: a Musical."
196B,United States,The Toughest Girl Alive! The Life & Times Of Candye Kane,Theater,Javier Velasco,"The 99.9 percent true story of plus-sized... sex positive feminist... blues singing activist Candye Kane, in her own words and music."
197B,United States,Grassroots Shakespeare Summer Tour 2012!,Theater,Grassroots Shakespeare Co.,"Help us buy a box truck so we can bring our touring stage, three shows, and a dozen brilliant actors to a festival or park near you!"
198B,United States,Parkway Center City Drama Presents: Boxes And Blind Dates,Theater,Alex Buxbaum,Parkway Center City High School's Drama Club Presents its 4th Annual Early Spring Production
199B,United States,Puppet Shakespeare: Puppet Romeo & Juliet Dvd Project!,Theater,Puppet Shakespeare Players,We want to share our unique style and approach to Shakespeare with the world. Help us do it!
200B,United States,"Fruition Productions Presents: Watermyth, By Katherine Jett.",Theater,Christopher Dodge,Look for the signs.
201B,United States,"Frozen Feet Theater's Nyc Debut; Skating, Puppetry & Stories",Theater,Beth Woronoff,"A free lunchtime ice skating performance at the Rink at Brookfield Place, the World Financial District of NYC, premiering Fire and Ice"
202B,United States,Send Robert Browning To The Fringe!,Theater,Julian Lopez-Morillas,"In honor of Robert Browning's 200th birthday, we're taking the solo show SLEEP TO WAKE to Edinburgh's Fringe Festival this August."
203B,United States,Underbelly's Church Of The Passionate Cat,Theater,Gabrielle Reisman,"A metaphysical mystery play- part classic film noir, part Twin Peaks, part revivalist church nightclub."
204B,United States,Numb: A Collaboration With The New Orleans Pharmacy Museum,Theater,Goat In The Road Productions,Numb is a performance about the ecstasy and limits of pain relief told through the history of anesthesiology.
205B,Australia,The Rebirth Of Beltane,Festivals,Gordy David,"Family Fun in the Park and music and theatre, inspired by festivals Beltane, Dia De Los Muertos, Feast Of Fools and Halloween."
206B,United Kingdom,Pussy Patrons Cum To London,Experimental,Pussy Patrons,"A feminist performance art company based in East London are exploring and glorifying the female anatomy, our precious 'pussy'."
207B,United States,Umma Yemaya,Plays,Joy Yvonne Jones,Umma Yemaya is  a play that examines the challenges of unconventional love. The Lady  and the Artist create their own world for love.
208B,United States,"Steve Brosky, The Musical! ""Living Here In Allentown""",Musical,Lehigh Valley Blues Network,We're creating a stage show for Steve Brosky based on the songs he's written over the past 30 years in Pennsylvania's Lehigh Valley.
209B,United States,Young Philosophers Theater Company Winter Productions,Plays,Emma Mantoani,Two shows! (we're feeling particularly ambitious). Help us produce Eurydice and The Effect of Gamma Rays on Man-in-the-Moon Marigolds!
210B,United States,Tasty Bites - A Clown Show,Theater,James Pelican,Clowns On A Stick need help making a Menu of Mirth for audiences hungry for good ole-fashioned clowning.
212B,United Kingdom,Aneurin Jones - The Welsh Artist,Art Books,Jeremy Tindall,"His paintings reflect a time gone by, and we want to capture these in a book for all to remember and enjoy"
213B,United States,Parsec Ink's Triangulation: Last Contact Anthology,Fiction,Steve Ramey,"Triangulation is a semi-professional annual SF, Fantasy and Horror Anthology that prides itself in encouraging new writers."
214B,United States,I Got Good Hair,Children's Books,Morgan Cruise,Diverse books for diverse children
215B,United States,"""The Last American Hitch Hiker    >>>   Tales Of Wander""",Nonfiction,Mark >>>>>>  Raindogfalls@Yahoo.Com,"Aiming my thumb at the stars now!  ""Funded"", but looking for more so I can get MORE BOOKS PRINTED and out to Good Folks of the World!"
216B,United Kingdom,Finding Arun : The Debut Novel By Marisha Pink,Fiction,Marisha Pink,I quit my job to write the book I'd always dreamed of. Now I'm self-publishing it in my quest not to live life by the book. Are you in?
217B,United States,Icke,Fiction,Greg Stolze,"I've written a lot of scary stories and I've won a few awards. This may be the best horror story I've written. Fund it, and I'll release it."
218B,United States,The Monarchs West Coast Tour,Poetry,Melanie Noel,"Reading Tour of The Monarchs, a book of poems by Melanie Noel, with a silent film by poet Don Mee Choi"
219B,United States,"Traveling Clouds, An Illustrated Book",Art Books,Traveling Clouds,"This is a book about clouds, traveling clouds. I invite you to play and dream. To see the world exactly as you want to see it."
220B,United States,Pretty Good Number One: An American Family Eats Tokyo,Nonfiction,Matthew Amster-Burton,An American family spends a month in a 260-square-foot Tokyo apartment in this humorous food and travel memoir.
221B,United Kingdom,Roads Were Not Built For Cars Book & Kindle & Ipad Versions,Nonfiction,Carlton Reid,Roads Were Not Built For Cars is a history book exploring the role of US & UK cyclists in improving highways for everybody.
222B,United States,The Zisk Anthology,Nonfiction,Blue Cubicle Press,A collection of baseball rants and reflections from fourteen years of Zisk zine.
223B,United States,Hannah Magazine: A Celebration Of Black Women (Staff Pick!),Zines,"Qimmah Saafir, EIC Of Hannah Magazine",HANNAH is a beautiful biannual print book that will add important voices to the ongoing narrative about Black women-our own.
224B,United States,Sally Discovers New York,Children's Books,"Stephen Huneck Gallery, Inc.","Sally is going places, The Farm, The Mountains and in her New York Times bestseller, The Beach. Now Sally wants to visit New York."
225B,United States,Mysterious Letters,Nonfiction,Lenka & Michael,"Michael Crowe and Lenka Clayton are writing a personal, hand-written letter to every household in the world."
226B,United States,Brooklyn's Rescued Bestiary,Art Books,Virginia Cahill,"Stories and illustrations of animals rescued by Sean Casey Animal Rescue, in a letterpress printed, hand-bound, limited edition book."
227B,United States,Kindergarde: Experimental Writing For Children,Children's Books,"Marthe Reed, Black Radish Books","What do avant-garde writers have to say to children? Kindergarde: Avant-garde Poems, Plays, Stories, and Songs finds out!"
228B,United States,"Tarp: Architecture Manual, Insidious Urbanism",Periodicals,Tarp: Architecture Manual,The Spring 2011 issue will take a critical look at urbanism and present design projects that operate in the margins of urban discourse.
229B,United States,Slow Holler Tarot Deck,Publishing,Slow Holler,Collaboratively illustrated and imagined tarot deck. 29 artists and 3 writers with Southern ties or queer identities or both.
230B,United Kingdom,The Soaking Of Vera Shrimp At The Edinburgh Festival Fringe,Festivals,Alison Carr,Vera Shrimp is heading to the Edinburgh Fringe in August and we'd love your help to make the show the best that it can be.
